38 Provinsi,,,,,,,,,,,,,
,Produksi Padi Menurut Provinsi (Bulanan) (Ton),,,,,,,,,,,,
,2026,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
ACEH,55380.19,50256.93,190349.31,243225.08,149413.71,-,-,-,-,-,-,-,-
SUMATERA UTARA,211424.06,327147.84,227328.21,170308.37,159527.02,-,-,-,-,-,-,-,-
SUMATERA BARAT,115558.86,157402.1,101360.5,102409.26,107199.15,-,-,-,-,-,-,-,-
RIAU,15317.96,32108.31,43291.34,13142.28,13494.26,-,-,-,-,-,-,-,-
JAMBI,25386.8,41690.44,33419.06,29475.23,18704.19,-,-,-,-,-,-,-,-
SUMATERA SELATAN,362607.15,441156.88,492156.31,369061.31,204952.44,-,-,-,-,-,-,-,-
BENGKULU,38117.98,20099.98,16938.27,20749.89,31229.72,-,-,-,-,-,-,-,-
LAMPUNG,104512.9,206746.19,517129.72,660191.91,248420.81,-,-,-,-,-,-,-,-
KEP. BANGKA BELITUNG,5068.85,11146.27,4866.69,5551.2,2313.37,-,-,-,-,-,-,-,-
KEP. RIAU,40.96,84.93,33.68,65.28,7.36,-,-,-,-,-,-,-,-
DKI JAKARTA,29.49,240.34,98.76,55.72,72.19,-,-,-,-,-,-,-,-
JAWA BARAT,614981.78,574166.2,1151170.99,1157756.69,1022654.12,-,-,-,-,-,-,-,-
JAWA TENGAH,374912.21,1192094.35,1791518.97,830046.17,507850.44,-,-,-,-,-,-,-,-
DI YOGYAKARTA,32541.06,126173.38,96593.69,40299.72,24122.7,-,-,-,-,-,-,-,-
JAWA TIMUR,481079.18,915123.67,2289081.24,1384867.47,561394.06,-,-,-,-,-,-,-,-
BANTEN,145120.73,302192.68,259737.24,108717.89,75592.55,-,-,-,-,-,-,-,-
BALI,54896.82,18795.47,32020.51,65938.94,76565.97,-,-,-,-,-,-,-,-
NUSA TENGGARA BARAT,46414.96,73705.84,425282.55,388392.26,155196.26,-,-,-,-,-,-,-,-
NUSA TENGGARA TIMUR,28227.7,24009.04,57362.24,132483.39,262547.86,-,-,-,-,-,-,-,-
KALIMANTAN BARAT,83595.73,106995.64,131106.41,49075.69,20753.25,-,-,-,-,-,-,-,-
KALIMANTAN TENGAH,8993.07,40134.58,41491.16,33668.83,13273.04,-,-,-,-,-,-,-,-
KALIMANTAN SELATAN,2681.28,14590.1,65869.47,122271.3,116850.44,-,-,-,-,-,-,-,-
KALIMANTAN TIMUR,10469.09,22980.18,70467.46,23653.71,5796.07,-,-,-,-,-,-,-,-
KALIMANTAN UTARA,7077.95,5323.39,5487.14,1609.74,1161.83,-,-,-,-,-,-,-,-
SULAWESI UTARA,21610.11,18827.65,33514.02,25053.84,19161.41,-,-,-,-,-,-,-,-
SULAWESI TENGAH,26981.25,41072.88,75046.27,106769.57,88285.42,-,-,-,-,-,-,-,-
SULAWESI SELATAN,56764.55,166575.29,724140.34,885144.86,435714.13,-,-,-,-,-,-,-,-
SULAWESI TENGGARA,33814.18,22797.78,28081.87,68115.55,86118.08,-,-,-,-,-,-,-,-
GORONTALO,36393.61,33324.4,18562.3,20999.61,11075.64,-,-,-,-,-,-,-,-
SULAWESI BARAT,17232.13,35382.61,56113.42,33731.12,27278.12,-,-,-,-,-,-,-,-
MALUKU,18194.57,4863.24,11872.89,5550.07,2768.94,-,-,-,-,-,-,-,-
MALUKU UTARA,2262.86,2802.11,2624.81,2407.06,1133.36,-,-,-,-,-,-,-,-
PAPUA BARAT,592.71,1538.22,1121.86,1556.67,1359.14,-,-,-,-,-,-,-,-
PAPUA BARAT DAYA,181.25,37.53,12.93,131.16,167.16,-,-,-,-,-,-,-,-
PAPUA,227.4,142.32,115.49,197.88,107.2,-,-,-,-,-,-,-,-
PAPUA SELATAN,4112.57,14930.03,50680.8,59597,14459.84,-,-,-,-,-,-,-,-
PAPUA TENGAH,1348.62,108.15,91.13,161.98,236.27,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,114.83,33.21,122.64,89.02,76.28,-,-,-,-,-,-,-,-
INDONESIA,3044267.4,5046800.15,9046261.69,7162522.72,4467033.8,-,-,-,-,-,-,-,-
