horizon,mse,rmse,mae,mape,mdape,smape,coverage
14 days,2782936916.693693,52753.54885402207,39587.794803710756,3.6647336288585906,2.923048911313065,1.1082649541515077,0.0
16 days,736513499.5713665,27138.782205017353,17901.84708432886,1.6727154301154354,0.8664840227046574,0.8564140468855941,0.0
17 days,44600378.14306511,6678.3514539941,5413.861801726296,0.5127226859195377,0.5302503576424953,0.5600541518547213,0.0
19 days,38483921.98503265,6203.541084335031,5088.428320004825,0.4918846515708144,0.5302503576424953,0.5501247422939505,0.0
21 days,20992944.84951711,4581.8058502644035,2925.7435877061885,0.2860428002971308,0.14134091096602014,0.21409310395135406,0.0
22 days,19160257.229092337,4377.2431082922885,2325.6376185431222,0.22706087091050145,0.023377052192761497,0.1630845836718691,0.0
24 days,61433.21931713457,247.85725592996985,220.5967543090419,0.020343335071833238,0.022463435653399103,0.0206073174358047,0.0
26 days,536372.7784699592,732.3747527529599,559.9779032221882,0.04819728634107584,0.029988423773227767,0.050154614601312375,0.0
27 days,512156.8778069501,715.6513661042995,503.1721514174683,0.042505924639543925,0.023245560013045605,0.04433377061317209,0.0
29 days,542006.5196174333,736.2109206045733,540.4063496114368,0.043943775281083106,0.026121261296123965,0.045818689266502455,0.0
41 days,3118752322.4365325,55845.790552525374,31305.528400111834,2.9020329050686247,0.6684591074629216,1.0108867537020174,0.0
43 days,7641995834.81693,87418.5096808275,64908.185393136264,6.035456244723694,5.782584408484007,1.5088608473137834,0.0
45 days,7656809943.149907,87503.19961664206,66717.47920443438,6.210529704964208,5.782584408484007,1.6343853354000415,0.0
46 days,6097475989.402142,78086.33676516105,51192.983055194134,4.7702294694922935,1.0186060279439515,1.139674650106952,0.0
47 days,4538332133.043256,67367.1443141481,35837.25549720903,3.346001085587599,0.41039546181365527,0.6620508631757711,0.0
48 days,15116292.744874248,3887.9676882497683,2296.531917868924,0.21917650123027702,0.06010124378133956,0.17053724265692394,0.0
50 days,45705128.69498294,6760.556833204121,3739.592083980415,0.3607652501928269,0.06010124378133956,0.5361519072568824,0.0
51 days,45692400.2894213,6759.615395081387,3683.7564629371836,0.35547339766260777,0.06010124378133956,0.5309166008344199,0.25
52 days,45520985.247172534,6746.924132311889,3547.192073760072,0.34248996066476955,0.03413436978566316,0.517119384323147,0.25
53 days,45563751.081878915,6750.092672095615,3595.3885291501856,0.3464915132938483,0.04213747504382066,0.5215949965819229,0.25
55 days,171381.59981479615,413.9826081066645,353.6817707581522,0.03249125927216236,0.03960557769970678,0.033228004082397504,0.25
56 days,202060.3096408852,449.51118967261004,440.682916936968,0.039612959257125824,0.03960557769970678,0.04024818518072643,0.0
57 days,627165.0554568595,791.9375325471444,689.8957881398046,0.05871629186140255,0.048005927869651445,0.06081184063994244,0.0
58 days,555084.3577934245,745.0398363801928,569.3219076325631,0.047249690961454247,0.037088443470431054,0.049014982887460666,0.0
60 days,555281.5146505089,745.1721375967494,569.512112848663,0.045326233147499034,0.03324152784252062,0.047008878360765054,0.0
70 days,38423761.82385555,6198.690331340609,3560.0482114440993,0.32251515747080256,0.0739653272803498,0.5399346889779882,0.0
72 days,174134849.66635296,13196.016431724876,9056.76184894182,0.8408482139572322,0.5876193764891277,1.010792036961226,0.0
74 days,186404078.95074043,13652.98791293468,10793.754604664195,1.0055283155662116,0.9004251908792142,1.2577893195936032,0.0
75 days,177817255.08871776,13334.813650318394,11169.784293700559,1.0506132639408112,0.7979038454571089,1.0413274960585086,0.0
77 days,41670843.19688921,6455.295748212409,5408.029214908624,0.5118388557343435,0.5432772558311079,0.5483244536709375,0.0
79 days,32321526.69221701,5685.202431947082,4511.106333888556,0.42978177997782374,0.3791631043180683,0.3719265026725077,0.0
80 days,14993524.148956958,3872.147227179896,2726.0329862909334,0.26436672787669446,0.18177428671732043,0.21016395325089196,0.0
82 days,14980939.640111959,3870.521882138371,2699.634672328097,0.2617001496415491,0.179663494866506,0.20755777993331154,0.0
84 days,12191250.607098354,3491.5971427268573,2026.134557154854,0.1944188117753729,0.04510081913415359,0.15286660207185118,0.0
85 days,658068.8173944645,811.2144090155601,696.3973852642484,0.06021447083222483,0.05622519511105341,0.06263620019942498,0.0
87 days,680590.0307621664,824.9788062502978,738.2247458236457,0.06302315108527015,0.05622519511105341,0.06538048753224857,0.0
89 days,569695.8826123745,754.782009995187,628.2145732139124,0.05193642814067852,0.03768283657271541,0.053789479049803746,0.0
90 days,362787.2954722649,602.3182675897061,508.05392533371287,0.04055016923682761,0.030979454008399333,0.04159323272255834,0.0
